CustomerKey,Prefix,FirstName,LastName,BirthDate,MaritalStatus,Gender,EmailAddress,AnnualIncome,TotalChildren,EducationLevel,Occupation,HomeOwner,FullName
11000,Mr.,Jon,Yang,1966-04-08,M,M,jon24@adventure-works.com,90000.0,2.0,Bachelors,Professional,Y,Mr. Jon Yang
11001,Mr.,Eugene,Huang,1965-05-14,S,M,eugene10@adventure-works.com,60000.0,3.0,Bachelors,Professional,N,Mr. Eugene Huang
11002,Mr.,Ruben,Torres,1965-08-12,M,M,ruben35@adventure-works.com,60000.0,3.0,Bachelors,Professional,Y,Mr. Ruben Torres
11003,Ms.,Christy,Zhu,1968-02-15,S,F,christy12@adventure-works.com,70000.0,0.0,Bachelors,Professional,N,Ms. Christy Zhu
11004,Mrs.,Elizabeth,Johnson,1968-08-08,S,F,elizabeth5@adventure-works.com,80000.0,5.0,Bachelors,Professional,Y,Mrs. Elizabeth Johnson
11005,Mr.,Julio,Ruiz,1965-08-05,S,M,julio1@adventure-works.com,70000.0,0.0,Bachelors,Professional,Y,Mr. Julio Ruiz
11007,Mr.,Marco,Mehta,1964-05-09,M,M,marco14@adventure-works.com,60000.0,3.0,Bachelors,Professional,Y,Mr. Marco Mehta
11008,Mrs.,Robin,Verhoff,1964-07-07,S,F,rob4@adventure-works.com,60000.0,4.0,Bachelors,Professional,Y,Mrs. Robin Verhoff
11009,Mr.,Shannon,Carlson,1964-04-01,S,M,shannon38@adventure-works.com,70000.0,0.0,Bachelors,Professional,N,Mr. Shannon Carlson
11010,Ms.,Jacquelyn,Suarez,1964-02-06,S,F,jacquelyn20@adventure-works.com,70000.0,0.0,Bachelors,Professional,N,Ms. Jacquelyn Suarez
11011,Mr.,Curtis,Lu,1963-11-04,M,M,curtis9@adventure-works.com,60000.0,4.0,Bachelors,Professional,Y,Mr. Curtis Lu
11012,Mrs.,Lauren,Walker,1968-01-18,M,F,lauren41@adventure-works.com,100000.0,2.0,Bachelors,Management,Y,Mrs. Lauren Walker
11013,Mr.,Ian,Jenkins,1968-08-06,M,M,ian47@adventure-works.com,100000.0,2.0,Bachelors,Management,Y,Mr. Ian Jenkins
11014,Mrs.,Sydney,Bennett,1968-05-09,S,F,sydney23@adventure-works.com,100000.0,3.0,Bachelors,Management,N,Mrs. Sydney Bennett
11015,Ms.,Chloe,Young,1979-02-27,S,F,chloe23@adventure-works.com,30000.0,0.0,Partial College,Skilled Manual,N,Ms. Chloe Young
11016,Mr.,Wyatt,Hill,1979-04-28,M,M,wyatt32@adventure-works.com,30000.0,0.0,Partial College,Skilled Manual,Y,Mr. Wyatt Hill
11017,Mrs.,Shannon,Wang,1944-06-26,S,F,shannon1@adventure-works.com,20000.0,4.0,High School,Skilled Manual,Y,Mrs. Shannon Wang
11018,Mr.,Clarence,Rai,1944-10-09,S,M,clarence32@adventure-works.com,30000.0,2.0,Partial College,Clerical,Y,Mr. Clarence Rai
11019,Mr.,Luke,Lal,1978-03-07,S,M,luke18@adventure-works.com,40000.0,0.0,High School,Skilled Manual,N,Mr. Luke Lal
11020,Mr.,Jordan,King,1978-09-20,S,M,jordan73@adventure-works.com,40000.0,0.0,High School,Skilled Manual,N,Mr. Jordan King
11021,Ms.,Destiny,Wilson,1978-09-03,S,F,destiny7@adventure-works.com,40000.0,0.0,Partial College,Skilled Manual,N,Ms. Destiny Wilson
11022,Mr.,Ethan,Zhang,1978-10-12,M,M,ethan20@adventure-works.com,40000.0,0.0,Partial College,Skilled Manual,Y,Mr. Ethan Zhang
11023,Mr.,Seth,Edwards,1978-10-11,M,M,seth46@adventure-works.com,40000.0,0.0,Partial College,Skilled Manual,Y,Mr. Seth Edwards
11024,Mr.,Russell,Xie,1978-09-17,M,M,russell7@adventure-works.com,60000.0,0.0,Partial College,Skilled Manual,Y,Mr. Russell Xie
11026,Mr.,Harold,Sai,1946-04-03,S,M,harold3@adventure-works.com,30000.0,2.0,Partial College,Clerical,N,Mr. Harold Sai
11027,Mr.,Jessie,Zhao,1946-12-07,M,M,jessie16@adventure-works.com,30000.0,2.0,Partial College,Clerical,Y,Mr. Jessie Zhao
11028,Mrs.,Jill,Jimenez,1946-04-11,M,F,jill13@adventure-works.com,30000.0,2.0,Partial College,Clerical,Y,Mrs. Jill Jimenez
